ID;NAME;JHI_LINK;TRAFFIC;TRAFFIC_TYPE;PRODUCT_ID;ADS_TYPE_ID;page_id
1;TEG_WEB_100;https://topica.edu.vn/;null;VIEW;1;4;
2;TEG_WEB_100;https://topica.vn/;null;VIEW;1;4;
3;TEG_WEB_101;https://topica.asia/;null;VIEW;1;4;
4;NVN_WEB_100;http://nativevip.topica.vn/;null;VIEW;4;4;
5;NVN_WEB_101;http://native.edu.vn/;null;VIEW;4;4;
6;NVN_LP_100;nativevip1.topicanative.edu.vn;null;C2;4;1;
7;NVN_LP_101;m.nativepremier1.topicanative.edu.vn;null;C2;4;1;
8;NVN_LP_102;aitest.topicanative.edu.vn;null;C2;4;1;
9;NVN_LP_103;noitienganh.topicanative.edu.vn;null;C2;4;1;
10;NVN_LP_104;autotest.topicanative.edu.vn;null;C2;4;1;
11;NVN_LP_105;speak.topicanative.edu.vn;null;C2;4;1;
12;NVN_LP_106;b2bsale.topicanative.edu.vn;null;C2;4;1;
13;NVN_LP_107;onetalk.topicanative.edu.vn;null;C2;4;1;
14;NVN_LP_108;booking.topicanative.edu.vn;null;C2;4;1;
15;NVN_LP_109;br16.topicanative.edu.vn;null;C2;4;1;
16;NVN_LP_110;br1.topicanative.edu.vn;92746;C2;4;1;
17;NVN_LP_111;br2.topicanative.edu.vn;7719;C2;4;1;
18;NVN_LP_112;tienganhvip.topicanative.edu.vn;null;C2;4;1;
19;NVN_LP_113;br4.topicanative.edu.vn;4;C2;4;1;
20;NVN_LP_114;br.topicanative.edu.vn;null;C2;4;1;
21;NVN_LP_115;www.english.topicanative.edu.vn;null;C2;4;1;
22;NVN_LP_116;lms.giang.topicanative.edu.vn;null;C2;4;1;
23;NVN_LP_117;cashierdev.topicanative.edu.vn;null;C2;4;1;
24;NVN_LP_118;m.topicanative.edu.vn;null;C2;4;1;
25;NVN_LP_119;premium.topicanative.edu.vn;null;C2;4;1;
26;NVN_LP_120;teachercontest.topicanative.edu.vn;null;C2;4;1;
27;NVN_LP_121;tienganhdoanhnghiep.topicanative.edu.vn;null;C2;4;1;
28;NVN_LP_122;dangky.topicanative.edu.vn;null;C2;4;1;
29;NVN_LP_123;dangkyvip.topicanative.edu.vn;null;C2;4;1;
30;NVN_LP_124;english.autosale.topicanative.edu.vn;null;C2;4;1;
31;NVN_LP_125;english.topicanative.edu.vn;null;C2;4;1;
32;NVN_LP_126;ga.topicanative.edu.vn;null;C2;4;1;
33;NVN_LP_127;giahan.topicanative.edu.vn;null;C2;4;1;
34;NVN_LP_128;m1.topicanative.edu.vn;null;C2;4;1;
35;NVN_LP_129;m3.topicanative.edu.vn;null;C2;4;1;
36;NVN_LP_130;m.ga.topicanative.edu.vn;null;C2;4;1;
37;NVN_LP_131;m.nativevip2.topicanative.edu.vn;null;C2;4;1;
38;NVN_LP_132;hn21.topicanative.edu.vn;null;C2;4;1;
39;NVN_LP_133;m.tienganhvip.topicanative.edu.vn;null;C2;4;1;
40;NVN_LP_134;nativeplus.topicanative.edu.vn;null;C2;4;1;
41;NVN_LP_135;nativevip2.topicanative.edu.vn;183359;C2;4;1;
42;NVN_LP_136;nativevip.topicanative.edu.vn;null;C2;4;1;
43;NVN_LP_137;news.topicanative.edu.vn;null;C2;4;1;
44;NVN_LP_138;hn4vcr.topicanative.edu.vn;null;C2;4;1;
45;NVN_LP_139;soidongtienganh.topicanative.edu.vn;null;C2;4;1;
46;NVN_LP_140;talk.topicanative.edu.vn;null;C2;4;1;
47;NVN_LP_141;tienganh.topicanative.edu.vn;null;C2;4;1;
48;NVN_LP_142;tompayment.topicanative.edu.vn;null;C2;4;1;
49;NVN_LP_143;www.talk.topicanative.edu.vn;null;C2;4;1;
50;NVN_LP_144;www.speak.topicanative.edu.vn;null;C2;4;1;
51;NVN_LP_145;www.topicanative.edu.vn;null;C2;4;1;
52;NVN_LP_146;advantage.topicanative.edu.vn;null;C2;4;1;
53;NVN_LP_147;native.topica.vn;null;C2;4;1;
54;NVN_LP_148;test.lms.ivy.topica.vn;null;C2;4;1;
55;NVN_LP_149;m.marketing.ivy.topica.vn;null;C2;4;1;
56;NVN_LP_150;marketing.ivy.topica.vn;null;C2;4;1;
57;NVN_LP_151;native.topica.edu.vn;null;C2;4;1;
58;NVN_LP_152;tienganhtop.topica.edu.vn;null;C2;4;1;
59;NVN_LP_153;nativevip.topica.edu.vn;null;C2;4;1;
60;NVN_LP_154;nativevip1.topica.edu.vn;183;C2;4;1;
61;NVN_LP_155;nativevip2.topica.edu.vn;183359;C2;4;1;
62;NVN_LP_156;ivyenglish.topica.edu.vn;null;C2;4;1;
63;NVN_LP_157;cunhan.topmito.edu.vn;null;C2;4;1;
64;NVN_LP_158;cunhan1.topmito.edu.vn;null;C2;4;1;
65;NVN_LP_159;googleglass.topmito.edu.vn;null;C2;4;1;
66;NVN_LP_160;hoctienganh.topmito.edu.vn;null;C2;4;1;
67;NVN_LP_161;hoctienganhgiaotiep.topmito.edu.vn;null;C2;4;1;
68;NVN_LP_162;landingpage.topmito.edu.vn;null;C2;4;1;
69;NVN_LP_163;luyennoitienganh.topmito.edu.vn;null;C2;4;1;
70;NVN_LP_164;m.hoctienganhgiaotiep.topmito.edu.vn;null;C2;4;1;
71;NVN_LP_165;m.tienganhchonguoidilam.topmito.edu.vn;null;C2;4;1;
72;NVN_LP_166;m.tienganhgiaotiep.topmito.edu.vn;null;C2;4;1;
73;NVN_LP_167;m.tienganhonline.topmito.edu.vn;null;C2;4;1;
74;NVN_LP_168;m.tienganhtructuyen.topmito.edu.vn;null;C2;4;1;
